날짜,걸음수,최고기온,최저기온,평균기온,날씨,습도,수면시간,목표걸음수
2025-03-01,6657,18.4,5.9,12.1,맑음,45,7.9,10000
2025-03-02,5330,13.2,6.9,10.1,맑음,64,6.4,10000
2025-03-03,4103,17.4,3.2,10.3,비,60,7.4,10000
2025-03-04,7497,15.1,6.3,10.7,흐림,78,7.6,10000
2025-03-05,5957,14.0,3.9,8.9,비,43,8.0,10000
2025-03-06,6142,16.3,6.7,11.5,비,78,5.6,10000
2025-03-07,4824,13.2,5.1,9.1,흐림,50,7.2,10000
2025-03-08,6621,18.2,6.0,12.1,맑음,41,7.7,10000
2025-03-09,7681,13.1,4.8,8.9,흐림,36,8.4,10000
2025-03-10,10322,17.4,6.3,11.8,구름많음,64,6.5,10000
2025-03-11,7879,13.5,3.9,8.7,구름많음,76,5.7,10000
2025-03-12,7216,13.8,6.4,10.1,흐림,76,7.5,10000
2025-03-13,7915,17.2,4.9,11.1,구름많음,56,6.7,10000
2025-03-14,7767,18.1,3.6,10.9,구름많음,67,8.0,10000
2025-03-15,9436,18.0,4.7,11.3,구름많음,37,7.9,10000
2025-03-16,6659,14.4,5.8,10.1,흐림,63,8.5,10000
2025-03-17,6208,15.3,5.6,10.4,비,50,5.9,10000
2025-03-18,6518,15.6,3.7,9.7,흐림,37,8.4,10000
2025-03-19,6747,18.3,3.9,11.1,비,50,6.5,10000
2025-03-20,8051,17.3,3.2,10.2,맑음,41,7.3,10000
2025-03-21,8618,14.0,6.6,10.3,맑음,38,7.9,10000
2025-03-22,8385,17.6,4.0,10.8,맑음,38,6.0,10000
2025-03-23,11264,17.9,6.0,11.9,맑음,61,7.1,10000
2025-03-24,6270,16.2,6.9,11.6,구름많음,46,8.2,10000
2025-03-25,7339,14.9,4.6,9.8,흐림,78,8.4,10000
2025-03-26,5555,18.2,6.8,12.5,맑음,51,7.3,10000
2025-03-27,7370,15.1,5.8,10.4,구름많음,73,7.0,10000
2025-03-28,5129,15.7,6.8,11.2,맑음,77,6.5,10000
2025-03-29,5763,15.0,6.4,10.7,구름많음,39,5.8,10000
2025-03-30,7487,13.6,5.1,9.3,흐림,62,6.9,10000
2025-03-31,9784,16.6,6.6,11.6,구름많음,71,7.3,10000
2025-04-01,8614,16.2,6.3,11.2,맑음,56,6.1,10000
2025-04-02,5992,18.5,5.9,12.2,맑음,43,6.2,10000
2025-04-03,6847,19.2,6.1,12.6,구름많음,68,6.6,10000
2025-04-04,8128,19.5,7.3,13.4,구름많음,63,6.5,10000
2025-04-05,7932,21.2,6.4,13.8,맑음,36,8.0,10000
2025-04-06,7485,21.0,8.3,14.7,흐림,35,6.4,10000
2025-04-07,6778,21.4,6.5,13.9,비,78,7.8,10000
2025-04-08,6778,21.2,7.6,14.4,구름많음,57,7.0,10000
2025-04-09,8399,19.4,9.2,14.3,구름많음,62,6.0,10000
2025-04-10,7612,19.8,5.7,12.8,흐림,38,6.5,10000
2025-04-11,7305,18.8,7.5,13.2,맑음,78,5.8,10000
2025-04-12,8477,21.3,8.8,15.1,맑음,69,7.1,10000
2025-04-13,5045,19.7,6.3,13.0,비,36,7.5,10000
2025-04-14,8297,16.2,8.8,12.5,맑음,72,5.6,10000
2025-04-15,8826,19.7,8.8,14.2,구름많음,65,8.0,10000
2025-04-16,7071,17.1,9.1,13.1,맑음,39,6.9,10000
2025-04-17,8414,20.8,7.3,14.1,맑음,78,5.7,10000
2025-04-18,9097,21.4,8.5,14.9,흐림,59,7.1,10000
2025-04-19,8877,18.5,6.9,12.7,맑음,38,7.9,10000
2025-04-20,5084,15.5,9.5,12.5,비,40,5.6,10000
2025-04-21,6956,17.0,8.4,12.7,구름많음,78,7.1,10000
2025-04-22,8169,17.5,6.9,12.2,흐림,76,7.0,10000
2025-04-23,7597,20.3,9.1,14.7,구름많음,47,7.5,10000
2025-04-24,9135,20.2,6.5,13.3,맑음,40,6.8,10000
2025-04-25,8703,18.6,7.1,12.9,흐림,54,8.1,10000
2025-04-26,9558,19.3,6.1,12.7,흐림,80,6.6,10000
2025-04-27,8421,19.0,6.7,12.8,맑음,46,7.9,10000
2025-04-28,8229,16.8,8.9,12.9,맑음,62,6.8,10000
2025-04-29,5544,18.7,8.0,13.3,구름많음,64,6.7,10000
2025-04-30,9655,20.1,9.4,14.8,맑음,80,7.7,10000
2025-05-01,10386,22.5,8.5,15.5,구름많음,56,6.6,10000
2025-05-02,9107,22.6,8.5,15.6,구름많음,56,5.8,10000
2025-05-03,7516,18.4,9.6,14.0,흐림,47,8.3,10000
2025-05-04,7723,20.9,9.4,15.1,구름많음,49,8.1,10000
2025-05-05,6696,22.0,10.2,16.1,맑음,51,6.2,10000
2025-05-06,7691,19.6,11.5,15.6,구름많음,70,8.1,10000
2025-05-07,8987,19.3,9.1,14.2,맑음,45,7.5,10000
2025-05-08,7254,18.3,11.1,14.7,구름많음,57,8.3,10000
2025-05-09,8560,20.1,9.2,14.7,구름많음,56,7.5,10000
2025-05-10,6528,18.4,10.5,14.4,구름많음,35,6.3,10000
2025-05-11,8495,19.5,10.2,14.8,맑음,76,8.1,10000
2025-05-12,7563,18.6,10.4,14.5,구름많음,77,5.9,10000
2025-05-13,6555,19.8,11.1,15.4,비,66,5.8,10000
2025-05-14,8462,23.3,9.2,16.2,구름많음,45,6.8,10000
2025-05-15,7542,18.1,11.9,15.0,맑음,40,7.0,10000
2025-05-16,5992,21.1,8.9,15.0,흐림,48,7.5,10000
2025-05-17,5176,20.3,10.0,15.2,비,63,7.2,10000
2025-05-18,9219,18.3,8.3,13.3,맑음,72,6.4,10000
2025-05-19,7138,23.2,10.5,16.9,비,56,5.6,10000
2025-05-20,6352,21.9,9.6,15.8,흐림,66,5.7,10000
2025-05-21,7697,18.5,10.0,14.2,흐림,39,7.9,10000
2025-05-22,8082,19.9,9.9,14.9,구름많음,67,6.9,10000
2025-05-23,8896,22.5,8.8,15.7,구름많음,79,6.8,10000
2025-05-24,7242,22.3,11.7,17.0,맑음,58,6.7,10000
2025-05-25,8267,23.0,11.5,17.2,맑음,60,8.0,10000
2025-05-26,4411,21.7,9.3,15.5,비,44,7.4,10000
2025-05-27,5390,22.6,8.7,15.7,비,44,7.4,10000
2025-05-28,7503,20.5,10.7,15.6,맑음,76,7.2,10000
2025-05-29,9157,18.7,10.2,14.4,맑음,38,7.9,10000
